timestamp,seq_num,voltage,current
2025-08-16T02:51:35.346000,0,9.23,0.54
2025-08-16T02:51:35.346013,1,10.22,0.59
2025-08-16T02:51:35.346019,2,14.08,0.82
2025-08-16T02:51:35.346023,3,3.11,0.18
2025-08-16T02:51:35.346028,4,7.21,0.42
2025-08-16T02:51:35.346032,5,11.2,0.65
2025-08-16T02:51:35.346037,6,15.02,0.87
2025-08-16T02:51:35.346042,7,11.2,0.65
2025-08-16T02:51:35.346046,8,15.02,0.87
2025-08-16T02:51:35.346051,9,3.11,0.18
2025-08-16T02:51:35.346055,10,2.07,0.12
2025-08-16T02:51:35.346060,11,6.19,0.36
2025-08-16T02:51:35.346064,12,2.07,0.12
2025-08-16T02:51:35.346069,13,6.19,0.36
2025-08-16T02:51:35.346073,14,4.14,0.24
2025-08-16T02:51:35.346078,15,8.22,0.48
2025-08-16T02:51:35.346082,16,4.14,0.24
2025-08-16T02:51:35.346087,17,8.22,0.48
2025-08-16T02:51:35.346091,18,1.03,0.06
2025-08-16T02:51:35.346096,19,5.17,0.3
2025-08-16T02:51:35.346100,20,9.23,0.54
2025-08-16T02:51:35.346105,21,13.14,0.76
2025-08-16T02:51:35.346109,22,2.07,0.12
2025-08-16T02:51:35.346114,23,6.19,0.36
2025-08-16T02:51:35.346118,24,5.17,0.3
2025-08-16T02:51:35.346123,25,9.23,0.54
2025-08-16T02:51:35.346127,26,12.18,0.71
2025-08-16T02:51:35.346132,27,15.94,0.93
2025-08-16T02:51:35.346136,28,14.08,0.82
2025-08-16T02:51:35.346141,29,13.14,0.76
2025-08-16T02:51:35.346146,30,16.84,0.98
2025-08-16T02:51:35.346150,31,5.17,0.3
2025-08-16T02:51:35.346157,32,9.23,0.54
2025-08-16T02:51:35.346164,33,13.14,0.76
2025-08-16T02:51:35.346171,34,15.94,0.93
2025-08-16T02:51:35.346178,35,7.21,0.42
2025-08-16T02:51:35.346185,36,11.2,0.65
2025-08-16T02:51:35.346192,37,15.02,0.87
2025-08-16T02:51:35.346200,38,13.14,0.76
2025-08-16T02:51:35.346207,39,16.84,0.98
2025-08-16T02:51:35.346212,40,4.14,0.24
2025-08-16T02:51:35.346217,41,8.22,0.48
2025-08-16T02:51:35.346221,42,13.14,0.76
2025-08-16T02:51:35.346226,43,11.2,0.65
2025-08-16T02:51:35.346230,44,15.02,0.87
2025-08-16T02:51:35.346234,45,2.07,0.12
2025-08-16T02:51:35.346238,46,6.19,0.36
2025-08-16T02:51:35.346243,47,14.08,0.82
2025-08-16T02:51:35.346247,48,11.2,0.65
2025-08-16T02:51:35.346251,49,15.02,0.87
2025-08-16T02:51:35.346256,50,3.11,0.18
2025-08-16T02:51:35.346260,51,7.21,0.42
