timestamp,time_seq,voltage,current,power,temperature,frequency
2025-01-01 00:20:43,1,3.29,0.101,0.334,25.1,50.0
2025-01-01 00:20:54,1,3.3,0.098,0.323,25.1,50.0
2025-01-01 00:21:01,1,3.31,0.098,0.324,25.0,50.0
2025-01-01 00:21:09,1,3.29,0.101,0.332,25.1,50.0
2025-01-01 00:21:16,1,3.3,0.098,0.324,25.1,50.0
2025-01-01 00:23:31,1,3.29,0.101,0.331,25.1,50.0
2025-01-01 00:23:39,1,3.31,0.099,0.328,25.1,50.0
2025-01-01 00:23:46,1,3.29,0.1,0.33,25.2,50.0
2025-01-01 00:23:54,1,3.3,0.102,0.336,25.1,50.0
2025-01-01 00:24:05,1,3.31,0.099,0.326,25.1,50.0
2025-01-01 00:24:13,1,3.29,0.099,0.326,24.9,50.0
2025-01-01 00:24:21,1,3.31,0.102,0.338,25.1,50.0
2025-01-01 00:24:29,1,3.3,0.099,0.326,25.0,50.0
2025-01-01 00:24:37,1,3.3,0.1,0.33,25.2,50.0
2025-01-01 00:24:45,1,3.3,0.099,0.328,25.2,50.0
2025-01-01 00:24:52,1,3.31,0.099,0.327,25.0,50.0
2025-01-01 00:25:02,1,3.31,0.099,0.328,25.1,50.0
2025-01-01 00:25:12,1,3.31,0.101,0.333,24.8,50.0
2025-01-01 00:25:21,1,3.3,0.098,0.324,24.9,50.0
2025-01-01 00:25:29,1,3.3,0.1,0.329,24.8,50.0
2025-01-01 00:25:42,1,3.31,0.102,0.336,25.1,50.0
2025-01-01 00:25:50,1,3.31,0.101,0.335,25.1,50.0
2025-01-01 00:26:02,1,3.3,0.098,0.324,25.0,50.0
2025-01-01 00:26:11,1,3.31,0.101,0.335,25.1,50.0
2025-01-01 00:26:23,1,3.3,0.101,0.332,25.2,50.0
2025-01-01 00:26:31,1,3.3,0.1,0.33,24.9,50.0
2025-01-01 00:26:39,1,3.3,0.102,0.336,25.0,50.0
2025-01-01 00:26:47,1,3.31,0.099,0.328,24.8,50.0
2025-01-01 00:26:56,1,3.3,0.1,0.33,24.8,50.0
2025-01-01 00:27:04,1,3.3,0.1,0.33,25.0,50.0
