timestamp,time_seq,voltage,current,frequency,power
2025-07-13T16:14:39.522633,12,-2.8,-4.93,50.0,14
2025-07-13T16:14:39.522815,13,2.2,-5.48,50.0,-12
2025-07-13T16:14:39.522955,14,-2.8,-5.55,50.0,16
2025-07-13T16:14:39.523077,15,2.8,-5.42,50.0,-15
2025-07-13T16:14:39.523208,16,3.1,-5.48,50.0,-17
2025-07-13T16:14:39.523348,17,-2.2,-5.44,50.0,12
2025-07-13T16:14:39.523553,18,2.8,-5.55,50.0,-16
2025-07-13T16:14:39.523731,19,-0.3,-5.55,50.0,2
2025-07-13T16:14:39.523862,20,2.5,-5.43,50.0,-14
2025-07-13T16:14:39.523987,21,1.6,-5.43,50.0,-8
2025-07-13T16:14:39.524111,22,-1.2,-5.41,50.0,7
2025-07-13T16:14:39.524233,23,0.9,-5.57,50.0,-5
2025-07-13T16:14:40.126846,13,-2.8,-4.93,50.0,14
2025-07-13T16:14:40.127112,14,2.2,-5.48,50.0,-12
2025-07-13T16:14:40.127238,15,-2.8,-5.55,50.0,16
2025-07-13T16:14:40.127279,16,2.8,-5.42,50.0,-15
2025-07-13T16:14:40.127314,17,3.1,-5.48,50.0,-17
2025-07-13T16:14:40.127361,18,-2.2,-5.44,50.0,12
2025-07-13T16:14:40.127393,19,2.8,-5.55,50.0,-16
2025-07-13T16:14:40.127425,20,-0.3,-5.55,50.0,2
2025-07-13T16:14:40.127458,21,2.5,-5.43,50.0,-14
2025-07-13T16:14:40.127489,22,1.6,-5.43,50.0,-8
2025-07-13T16:14:40.127533,23,-1.2,-5.41,50.0,7
2025-07-13T16:14:40.127566,24,0.9,-5.57,50.0,-5
2025-07-13T16:14:40.127599,25,1.6,-5.47,50.0,-9
2025-07-13T16:14:40.459008,25,1.6,-5.47,50.0,-9
2025-07-13T16:14:40.459158,26,-0.6,-5.4,50.0,3
2025-07-13T16:14:40.459248,27,1.9,-5.5,50.0,-10
2025-07-13T16:14:40.459317,28,-2.5,-5.6,50.0,14
2025-07-13T16:14:40.459366,29,-2.8,-5.59,50.0,16
2025-07-13T16:14:40.459411,30,1.6,-5.57,50.0,-9
2025-07-13T16:14:40.459462,31,1.9,-5.58,50.0,-10
2025-07-13T16:14:40.459505,32,0.9,-5.51,50.0,-5
2025-07-13T16:14:40.459561,33,-3.1,-5.46,50.0,17
2025-07-13T16:14:40.459604,34,-2.5,-5.5,50.0,14
2025-07-13T16:14:40.459644,35,-1.9,-5.54,50.0,10
2025-07-13T16:14:40.459694,36,1.9,-5.59,50.0,-10
2025-07-13T16:14:41.033902,26,1.6,-5.47,50.0,-9
2025-07-13T16:14:41.034389,27,-0.6,-5.4,50.0,3
2025-07-13T16:14:41.034743,28,1.9,-5.5,50.0,-10
2025-07-13T16:14:41.035045,29,-2.5,-5.6,50.0,14
2025-07-13T16:14:41.035258,30,-2.8,-5.59,50.0,16
2025-07-13T16:14:41.035410,31,1.6,-5.57,50.0,-9
2025-07-13T16:14:41.035569,32,1.9,-5.58,50.0,-10
2025-07-13T16:14:41.035718,33,0.9,-5.51,50.0,-5
2025-07-13T16:14:41.035863,34,-3.1,-5.46,50.0,17
2025-07-13T16:14:41.036019,35,-2.5,-5.5,50.0,14
2025-07-13T16:14:41.036148,36,-1.9,-5.54,50.0,10
2025-07-13T16:14:41.036265,37,1.9,-5.59,50.0,-10
2025-07-13T16:14:41.036404,38,-2.5,-5.46,50.0,14
2025-07-13T16:14:42.055867,39,2.8,-5.51,50.0,-15
2025-07-13T16:14:42.056127,40,2.5,-5.47,50.0,-14
2025-07-13T16:14:42.056256,41,-0.3,-5.55,50.0,2
2025-07-13T16:14:42.056440,42,-1.9,-5.52,50.0,10
2025-07-13T16:14:42.056643,43,-1.5,-5.59,50.0,9
2025-07-13T16:14:42.056797,44,-1.2,-5.52,50.0,7
2025-07-13T16:14:42.056928,45,-2.5,-5.46,50.0,14
2025-07-13T16:14:42.057097,46,1.9,-5.62,50.0,-11
2025-07-13T16:14:42.057318,47,0.0,-5.48,50.0,0
2025-07-13T16:14:42.057513,48,2.8,-5.62,50.0,-16
2025-07-13T16:14:42.057721,49,1.2,-5.46,50.0,-7
2025-07-13T16:14:42.057936,50,0.3,-5.44,50.0,-2
2025-07-13T16:14:42.058130,51,2.8,-5.52,50.0,-15
2025-07-13T16:14:42.510835,51,-0.9,-5.62,50.0,5
2025-07-13T16:14:42.511213,52,-1.6,-5.5,50.0,9
2025-07-13T16:14:42.511411,53,-0.9,-5.45,50.0,5
2025-07-13T16:14:42.511579,54,1.6,-5.47,50.0,-8
