timestamp,time_seq,voltage_a,voltage_b,voltage_c,current_a,current_b,current_c,frequency,power_total,power_a,power_b,power_c
2025-07-13T16:04:32.739942,10,-0.31,274.69,-279.35,-2.55,5.02,-2.5,50.0,1386.0,0.7905,1378.9437999999998,698.375
2025-07-13T16:04:32.740082,11,1.24,279.04,-278.73,-2.622,5.334,-2.682,50.0,1492.3,-3.25128,1488.3993600000001,747.55386
2025-07-13T16:04:32.740150,12,-1.87,275.62,-276.86,-2.718,5.491,-2.753,50.0,1525.9,5.082660000000001,1513.42942,762.1955800000001
2025-07-13T16:04:32.740209,13,0.31,278.11,-278.42,-2.778,5.481,-2.778,50.0,1531.0,-0.8611800000000001,1524.3209100000001,773.4507600000001
2025-07-13T16:04:32.740293,14,1.87,279.35,-275.62,-2.692,5.289,-2.667,50.0,1479.5,-5.034040000000001,1477.48215,735.07854
2025-07-13T16:04:32.740354,15,-2.8,280.6,-277.8,-2.5,5.02,-2.5,50.0,1421.8,7.0,1408.612,694.5
2025-07-13T16:04:32.740408,16,1.87,280.6,-275.93,-2.338,4.701,-2.348,50.0,1320.3,-4.37206,1319.1006,647.88364
2025-07-13T16:04:32.740468,17,-0.31,276.55,-280.6,-2.272,4.539,-2.312,50.0,1261.4,0.70432,1255.26045,648.7472
2025-07-13T16:04:32.740538,18,2.49,278.11,-277.49,-2.217,4.529,-2.227,50.0,1259.1,-5.52033,1259.5601900000001,617.97023
2025-07-13T16:04:32.740593,19,2.8,279.66,-277.17,-2.323,4.696,-2.378,50.0,1312.5,-6.5043999999999995,1313.2833600000001,659.11026
2025-07-13T16:04:32.826464,11,-0.31,274.69,-279.35,-2.55,5.02,-2.5,50.0,1386.0,0.7905,1378.9437999999998,698.375
2025-07-13T16:04:32.826697,12,1.24,279.04,-278.73,-2.622,5.334,-2.682,50.0,1492.3,-3.25128,1488.3993600000001,747.55386
2025-07-13T16:04:32.826772,13,-1.87,275.62,-276.86,-2.718,5.491,-2.753,50.0,1525.9,5.082660000000001,1513.42942,762.1955800000001
2025-07-13T16:04:32.826828,14,0.31,278.11,-278.42,-2.778,5.481,-2.778,50.0,1531.0,-0.8611800000000001,1524.3209100000001,773.4507600000001
2025-07-13T16:04:32.826879,15,1.87,279.35,-275.62,-2.692,5.289,-2.667,50.0,1479.5,-5.034040000000001,1477.48215,735.07854
2025-07-13T16:04:32.826927,16,-2.8,280.6,-277.8,-2.5,5.02,-2.5,50.0,1421.8,7.0,1408.612,694.5
2025-07-13T16:04:32.826973,17,1.87,280.6,-275.93,-2.338,4.701,-2.348,50.0,1320.3,-4.37206,1319.1006,647.88364
2025-07-13T16:04:32.827018,18,-0.31,276.55,-280.6,-2.272,4.539,-2.312,50.0,1261.4,0.70432,1255.26045,648.7472
2025-07-13T16:04:32.827064,19,2.49,278.11,-277.49,-2.217,4.529,-2.227,50.0,1259.1,-5.52033,1259.5601900000001,617.97023
2025-07-13T16:04:32.827126,20,2.8,279.66,-277.17,-2.323,4.696,-2.378,50.0,1312.5,-6.5043999999999995,1313.2833600000001,659.11026
2025-07-13T16:04:32.827176,21,3.11,276.86,-277.17,-2.51,5.04,-2.485,50.0,1393.8,-7.806099999999999,1395.3744000000002,688.76745
2025-07-13T16:04:33.176392,21,1.55,278.73,-274.37,-2.597,5.289,-2.607,50.0,1476.9,-4.02535,1474.20297,715.28259
2025-07-13T16:04:33.176698,22,-2.18,279.35,-279.97,-2.688,5.526,-2.773,50.0,1557.1,5.859840000000001,1543.6881,776.3568100000001
2025-07-13T16:04:33.176840,23,-0.62,275.93,-279.97,-2.693,5.526,-2.688,50.0,1533.6,1.66966,1524.78918,752.5593600000001
2025-07-13T16:04:33.177023,24,-1.86,276.86,-274.69,-2.677,5.339,-2.697,50.0,1490.4,4.979220000000001,1478.1555400000002,740.83893
2025-07-13T16:04:33.177260,25,1.25,280.28,-279.98,-2.475,4.965,-2.535,50.0,1394.9,-3.09375,1391.5901999999999,709.7493000000001
2025-07-13T16:04:33.177453,26,-1.24,280.6,-278.73,-2.343,4.741,-2.363,50.0,1338.8,2.90532,1330.3246,658.63899
2025-07-13T16:04:33.177623,27,-1.86,275.0,-279.35,-2.242,4.544,-2.222,50.0,1258.8,4.17012,1249.6,620.7157000000001
2025-07-13T16:04:33.177748,28,-2.17,277.79,-277.8,-2.212,4.529,-2.312,50.0,1268.4,4.80004,1258.11091,642.2736
2025-07-13T16:04:33.177879,29,-2.18,276.86,-276.24,-2.328,4.676,-2.333,50.0,1305.1,5.07504,1294.5973600000002,644.46792
2025-07-13T16:04:33.177998,30,-0.31,277.17,-275.93,-2.51,4.995,-2.49,50.0,1391.5,0.7780999999999999,1384.46415,687.0657000000001
2025-07-13T16:04:33.606604,22,1.55,278.73,-274.37,-2.597,5.289,-2.607,50.0,1476.9,-4.02535,1474.20297,715.28259
2025-07-13T16:04:33.606926,23,-2.18,279.35,-279.97,-2.688,5.526,-2.773,50.0,1557.1,5.859840000000001,1543.6881,776.3568100000001
2025-07-13T16:04:33.607107,24,-0.62,275.93,-279.97,-2.693,5.526,-2.688,50.0,1533.6,1.66966,1524.78918,752.5593600000001
2025-07-13T16:04:33.607273,25,-1.86,276.86,-274.69,-2.677,5.339,-2.697,50.0,1490.4,4.979220000000001,1478.1555400000002,740.83893
2025-07-13T16:04:33.607421,26,1.25,280.28,-279.98,-2.475,4.965,-2.535,50.0,1394.9,-3.09375,1391.5901999999999,709.7493000000001
2025-07-13T16:04:33.607650,27,-1.24,280.6,-278.73,-2.343,4.741,-2.363,50.0,1338.8,2.90532,1330.3246,658.63899
2025-07-13T16:04:33.607844,28,-1.86,275.0,-279.35,-2.242,4.544,-2.222,50.0,1258.8,4.17012,1249.6,620.7157000000001
2025-07-13T16:04:33.608014,29,-2.17,277.79,-277.8,-2.212,4.529,-2.312,50.0,1268.4,4.80004,1258.11091,642.2736
2025-07-13T16:04:33.608229,30,-2.18,276.86,-276.24,-2.328,4.676,-2.333,50.0,1305.1,5.07504,1294.5973600000002,644.46792
2025-07-13T16:04:33.608408,31,-0.31,277.17,-275.93,-2.51,4.995,-2.49,50.0,1391.5,0.7780999999999999,1384.46415,687.0657000000001
2025-07-13T16:04:33.608593,32,-0.31,275.93,-277.8,-2.677,5.274,-2.672,50.0,1463.2,0.82987,1455.25482,742.2816
2025-07-13T16:04:33.986438,32,-1.56,274.69,-274.69,-2.753,5.476,-2.758,50.0,1515.9,4.2946800000000005,1504.20244,757.59502
2025-07-13T16:04:33.986762,33,-0.0,275.0,-278.73,-2.733,5.486,-2.753,50.0,1516.1,0.0,1508.6499999999999,767.34369
2025-07-13T16:04:33.986934,34,-0.31,276.86,-276.86,-2.652,5.299,-2.627,50.0,1474.8,0.8221200000000001,1467.0811400000002,727.3112199999999
2025-07-13T16:04:33.987082,35,2.8,277.8,-277.18,-2.525,4.995,-2.515,50.0,1386.8,-7.069999999999999,1387.611,697.1077
2025-07-13T16:04:33.987237,36,0.93,279.98,-276.24,-2.308,4.731,-2.333,50.0,1327.9,-2.14644,1324.58538,644.46792
2025-07-13T16:04:33.987360,37,0.31,280.6,-275.0,-2.237,4.559,-2.247,50.0,1283.7,-0.69347,1279.2554000000002,617.925
2025-07-13T16:04:33.987510,38,0.63,280.59,-274.38,-2.292,4.524,-2.307,50.0,1273.4,-1.44396,1269.38916,632.99466
2025-07-13T16:04:33.987681,39,0.31,275.62,-274.69,-2.308,4.751,-2.388,50.0,1314.5,-0.7154799999999999,1309.47062,655.95972
2025-07-13T16:04:33.987836,40,-2.17,277.48,-279.98,-2.48,4.995,-2.525,50.0,1397.8,5.3816,1386.0126,706.9495000000001
